   Z    A                         m(KeV)      Element   BETA_GS   BETA_2+ E_2+(MeV)
  32   70                       -70561.8         Ge     0.225     0.225     1.039
  32   72                      -72585.90         Ge     0.242     0.242     0.834
  32   74                     -73422.442         Ge     0.283     0.283     0.596
  32   76                     -73212.889         Ge     0.262     0.262     0.563
  32   78                         -71862         Ge     0.235     0.235     0.619
  32   80                       -69535.3         Ge     0.183     0.183     0.659
  32   82                       -65415.1         Ge     0.084     0.167     1.348
  34   68                       -54189.4         Se     0.236     0.236     0.854
  34   70                       -61929.9         Se     0.309     0.309     0.945
  34   72                       -67868.2         Se     0.224     0.224     0.862
  34   74                     -72213.202         Se     0.302     0.302     0.635
  34   76                     -75251.950         Se     0.309     0.309     0.559
  34   78                      -77025.91         Se     0.271     0.271     0.614
  34   80                       -77759.5         Se     0.232     0.232     0.666
  34   82                       -77593.9         Se     0.152     0.193     0.655
  34   84                       -75947.7         Se     0.050     0.145     1.454
  34   86                       -70503.2         Se     0.129     0.204     0.704
  36   72                         -53941         Kr     0.319     0.319     0.709
  36   74                       -62331.8         Kr     0.419     0.419     0.456
  36   76                         -69014         Kr     0.409     0.409     0.424
  36   78                       -74179.6         Kr     0.352     0.352     0.455
  36   80                       -77893.3         Kr     0.265     0.265     0.617
  36   82                       -80590.3         Kr     0.202     0.202     0.777
  36   84                     -82439.335         Kr     0.075     0.149     0.882
  36   86                     -83265.665         Kr     0.000     0.145     1.565
  36   88                       -79691.3         Kr     0.061     0.122     0.775
  36   90                       -74959.2         Kr     0.158     0.158     0.707
  36   92                       -68769.3         Kr     0.181     0.181     0.769
  36   94                         -61348         Kr     0.194     0.194     0.665
  36   96                         -53080         Kr     0.254     0.254     0.554
  38   76                         -54250         Sr     0.443     0.443     0.262
  38   78                         -63174         Sr     0.435     0.435     0.279
  38   80                         -70311         Sr     0.404     0.404     0.386
  38   82                         -76010         Sr     0.290     0.290     0.574
  38   84                       -80649.6         Sr     0.214     0.214     0.793
  38   86                       -84523.2         Sr     0.070     0.140     1.077
  38   88                       -87921.4         Sr     0.000     0.117     1.836
  38   90                       -85948.9         Sr     0.064     0.127     0.832
  38   92                         -82867         Sr     0.124     0.124     0.815
  38   94                       -78845.7         Sr     0.125     0.125     0.837
  38   96                         -72930         Sr     0.170     0.170     0.815
  38   98                         -66426         Sr     0.408     0.408     0.144
  38  100                         -59830         Sr     0.423     0.423     0.130
  38  102                         -52360         Sr     0.407     0.407     0.126
  40   80                         -55520         Zr     0.354     0.354     0.290
  40   82                        -63940#         Zr     0.367     0.367     0.407
  40   84                         -71421         Zr     0.251     0.251     0.540
  40   86                         -77969         Zr     0.110     0.151     0.752
  40   88                         -83628         Zr     0.050     0.185     1.057
  40   90                       -88773.6         Zr     0.000     0.089     2.186
  40   92                       -88459.6         Zr     0.050     0.103     0.934
  40   94                       -87270.9         Zr     0.050     0.090     0.919
  40   96                       -85444.6         Zr     0.080     0.080     1.750
  40   98                         -81293         Zr     0.114     0.114     1.223
  40  100                         -76382         Zr     0.355     0.355     0.213
  40  102                         -71594         Zr     0.427     0.427     0.152
  40  104                         -65730         Zr     0.460     0.460     0.139
  40  106                        -58910#         Zr     0.360     0.360     0.152
  42   84                        -54500#         Mo     0.263     0.263     0.444
  42   86                         -64110         Mo     0.228     0.228     0.567
  42   88                         -72687         Mo     0.100     0.192     0.741
  42   90                         -80173         Mo     0.077     0.154     0.948
  42   92                       -86807.8         Mo     0.050     0.106     1.509
  42   94                       -88412.8         Mo     0.076     0.151     0.871
  42   96                       -88793.6         Mo     0.086     0.172     0.778
  42   98                       -88114.8         Mo     0.084     0.168     0.787
  42  100                       -86189.5         Mo     0.231     0.231     0.536
  42  102                         -83570         Mo     0.311     0.311     0.297
  42  104                         -80356         Mo     0.362     0.362     0.192
  42  106                         -76141         Mo     0.354     0.354     0.172
  42  108                         -70762         Mo     0.380     0.380     0.193
  44   88                        -54400#         Ru     0.214     0.214     0.616
  44   90                         -64884         Ru     0.100     0.192     0.738
  44   92                       -74301.2         Ru     0.086     0.172     0.865
  44   94                         -82584         Ru     0.050     0.131     1.431
  44   96                       -86079.1         Ru     0.078     0.156     0.833
  44   98                         -88225         Ru     0.195     0.195     0.652
  44  100                       -89223.8         Ru     0.215     0.215     0.540
  44  102                       -89102.9         Ru     0.240     0.240     0.475
  44  104                       -88093.7         Ru     0.271     0.271     0.358
  44  106                         -86322         Ru     0.257     0.257     0.270
  44  108                         -83659         Ru     0.292     0.292     0.242
  44  110                         -80071         Ru     0.295     0.295     0.241
  44  112                         -75629         Ru     0.306     0.306     0.237
  44  114                         -70222         Ru     0.362     0.362     0.127
  46   94                         -66101         Pd     0.080     0.173     0.814
  46   96                         -76182         Pd     0.030     0.129     1.415
  46   98                         -81321         Pd     0.080     0.163     0.863
  46  100                         -85227         Pd     0.180     0.180     0.665
  46  102                       -87931.0         Pd     0.196     0.196     0.556
  46  104                       -89395.0         Pd     0.209     0.209     0.556
  46  106                       -89907.4         Pd     0.229     0.229     0.512
  46  108                       -89524.4         Pd     0.243     0.243     0.434
  46  110                       -88331.5         Pd     0.256     0.256     0.374
  46  112                         -86322         Pd     0.220     0.220     0.349
  46  114                         -83491         Pd     0.164     0.164     0.333
  46  116                         -79832         Pd     0.207     0.207     0.341
  46  118                       -75388.9         Pd     0.200     0.200     0.378
  48   98                         -67640         Cd     0.000     0.127     1.395
  48  100                       -74194.6         Cd     0.050     0.162     1.005
  48  102                       -79659.5         Cd     0.141     0.141     0.777
  48  104                       -83968.2         Cd     0.174     0.174     0.658
  48  106                       -87132.0         Cd     0.173     0.173     0.633
