   Z    A                         m(KeV)      Element   BETA_GS   BETA_2+ E_2+(MeV)
  86  208                          -9655         Rn     0.090     0.090     0.636
  86  210                          -9605         Rn     0.044     0.087     0.644
  86  212                          -8659         Rn     0.000     0.060     1.273
  86  214                          -4319         Rn     0.000     0.082     0.695
  86  216                            253         Rn     0.045     0.090     0.462
  86  218                         5217.8         Rn     0.110     0.110     0.324
  86  220                        10613.6         Rn     0.127     0.127     0.241
  86  222                        16374.0         Rn     0.142     0.142     0.186
  88  206                           3566         Ra     0.100     0.100     0.474
  88  208                           1715         Ra     0.100     0.100     0.520
  88  210                            460         Ra     0.090     0.090     0.603
  88  212                           -199         Ra     0.080     0.088     0.629
  88  214                             93         Ra     0.030     0.055     1.382
  88  216                           3291         Ra     0.040     0.077     0.688
  88  218                           6651         Ra     0.095     0.095     0.389
  88  220                          10271         Ra     0.160     0.160     0.178
  88  222                          14322         Ra     0.192     0.192     0.111
  88  224                        18827.3         Ra     0.179     0.179     0.084
  88  226                        23669.6         Ra     0.202     0.202     0.068
  88  228                        28942.2         Ra     0.217     0.217     0.064
  88  230                          34516         Ra     0.230     0.230     0.057
  90  216                          10299         Th     0.056     0.056     1.478
  90  218                          12367         Th     0.081     0.081     0.690
  90  220                          14669         Th     0.110     0.110     0.373
  90  222                          17203         Th     0.153     0.153     0.183
  90  224                          19994         Th     0.174     0.174     0.098
  90  226                          23197         Th     0.228     0.228     0.072
  90  228                        26772.3         Th     0.230     0.230     0.058
  90  230                        30864.2         Th     0.244     0.244     0.053
  90  232                        35448.7         Th     0.261     0.261     0.049
  90  234                          40614         Th     0.241     0.241     0.050
  92  226                          27329          U     0.230     0.230     0.081
  92  228                          29222          U     0.260     0.260     0.059
  92  230                          31615          U     0.262     0.262     0.052
  92  232                        34610.9          U     0.264     0.264     0.048
  92  234                        38146.8          U     0.272     0.272     0.043
  92  236                        42446.5          U     0.282     0.282     0.045
  92  238                        47309.1          U     0.286     0.286     0.045
  92  240                          52716          U     0.284     0.284     0.045
  94  236                        42902.9         Pu     0.286     0.286     0.045
  94  238                        46164.9         Pu     0.286     0.286     0.044
  94  240                        50127.2         Pu     0.289     0.289     0.043
  94  242                        54718.6         Pu     0.292     0.292     0.045
  94  244                          59807         Pu     0.293     0.293     0.046
  94  246                          65396         Pu     0.295     0.295     0.044
  96  238                          49445         Cm     0.311     0.311     0.035
  96  240                        51725.6         Cm     0.297     0.297     0.038
  96  242                        54805.4         Cm     0.297     0.297     0.042
  96  244                        58453.8         Cm     0.297     0.297     0.043
  96  246                        62618.6         Cm     0.298     0.298     0.043
  96  248                          67393         Cm     0.297     0.297     0.043
  96  250                          72990         Cm     0.297     0.297     0.043
  98  244                        61479.4         Cf     0.313     0.313     0.040
  98  246                        64091.9         Cf     0.310     0.310     0.041
  98  248                          67240         Cf     0.310     0.310     0.042
  98  250                        71172.0         Cf     0.299     0.299     0.043
  98  252                          76035         Cf     0.304     0.304     0.046
 100  248                          71899         Fm     0.300     0.300     0.044
 100  250                          74073         Fm     0.300     0.300     0.044
 100  252                          76818         Fm     0.293     0.293     0.047
 100  254                        80904.4         Fm     0.296     0.296     0.045
 100  256                          85487         Fm     0.286     0.286     0.048
