  Z     A  Element   m      d      beta       
 13    22    Al     nan    0.55     0.1    
 13    23    Al     nan    0.55     0.1    
 13    24    Al     nan    0.55     0.1    
 13    25    Al     nan    0.55     0.1    
 13    26    Al     nan    0.55     0.1    
 13    27    Al     nan    0.55     0.1    
 13    28    Al     nan    0.55     0.1    
 13    29    Al     nan    0.55     0.1    
 13    30    Al     nan    0.55     0.1    
 13    31    Al     nan    0.55     0.1    
 13    32    Al     nan    0.55     0.1    
 13    33    Al     nan    0.55     0.1    
 13    34    Al     nan    0.55     0.1    
 13    35    Al     nan    0.55     0.1    
 13    36    Al     nan    0.55     0.1    
 13    37    Al     nan    0.55     0.1    
 13    38    Al     nan    0.55     0.1    
 13    39    Al     nan    0.55     0.1    
 14    22    Si     nan    0.55     0.1    
 14    23    Si     nan    0.55     0.1    
 14    24    Si     nan    0.55     0.1    
 14    25    Si     nan    0.55     0.1    
 14    26    Si     nan    0.55     0.1    
 14    27    Si     nan    0.55     0.1    
 14    28    Si     nan    0.55     0.1    
 14    29    Si     nan    0.55     0.1    
 14    30    Si     nan    0.55     0.1    
 14    31    Si     nan    0.55     0.1    
 14    32    Si     nan    0.55     0.1    
 14    33    Si     nan    0.55     0.1    
 14    34    Si     nan    0.55     0.1    
 14    35    Si     nan    0.55     0.1    
 14    36    Si     nan    0.55     0.1    
 14    37    Si     nan    0.55     0.1    
 14    38    Si     nan    0.55     0.1    
 14    39    Si     nan    0.55     0.1    
 14    40    Si     nan    0.55     0.1    
 14    41    Si     nan    0.55     0.1    
 14    42    Si     nan    0.55     0.1    
 15    24     P     nan    0.55     0.1    
 15    25     P     nan    0.55     0.1    
 15    26     P     nan    0.55     0.1    
 15    27     P     nan    0.55     0.1    
 15    28     P     nan    0.55     0.1    
 15    29     P     nan    0.55     0.1    
 15    30     P     nan    0.55     0.1    
 15    31     P     nan    0.55     0.1    
 15    32     P     nan    0.55     0.1    
 15    33     P     nan    0.55     0.1    
 15    34     P     nan    0.55     0.1    
 15    35     P     nan    0.55     0.1    
 15    36     P     nan    0.55     0.1    
 15    37     P     nan    0.55     0.1    
 15    38     P     nan    0.55     0.1    
 15    39     P     nan    0.55     0.1    
 15    40     P     nan    0.55     0.1    
 15    41     P     nan    0.55     0.1    
 15    42     P     nan    0.55     0.1    
 15    43     P     nan    0.55     0.1    
 15    44     P     nan    0.55     0.1    
 15    45     P     nan    0.55     0.1    
 15    46     P     nan    0.55     0.1    
 16    26     S     nan    0.55     0.1    
 16    27     S     nan    0.55     0.1    
 16    28     S     nan    0.55     0.1    
 16    29     S     nan    0.55     0.1    
 16    30     S     nan    0.55     0.1    
 16    31     S     nan    0.55     0.1    
 16    32     S     nan    0.55     0.1    
 16    33     S     nan    0.55     0.1    
 16    34     S     nan    0.55     0.1    
 16    35     S     nan    0.55     0.1    
 16    36     S     nan    0.55     0.1    
 16    37     S     nan    0.55     0.1    
 16    38     S     nan    0.55     0.1    
 16    39     S     nan    0.55     0.1    
 16    40     S     nan    0.55     0.1    
 16    41     S     nan    0.55     0.1    
 16    42     S     nan    0.55     0.1    
 16    43     S     nan    0.55     0.1    
 16    44     S     nan    0.55     0.1    
 16    45     S     nan    0.55     0.1    
 16    46     S     nan    0.55     0.1    
 16    47     S     nan    0.55     0.1    
 16    48     S     nan    0.55     0.1    
 16    49     S     nan    0.55     0.1    
 17    28    Cl     nan    0.55     0.1    
 17    29    Cl     nan    0.55     0.1    
 17    30    Cl     nan    0.55     0.1    
 17    31    Cl     nan    0.55     0.1    
 17    32    Cl     nan    0.55     0.1    
 17    33    Cl     nan    0.55     0.1    
 17    34    Cl     nan    0.55     0.1    
 17    35    Cl     nan    0.55     0.1    
 17    36    Cl     nan    0.55     0.1    
 17    37    Cl     nan    0.55     0.1    
 17    38    Cl     nan    0.55     0.1    
 17    39    Cl     nan    0.55     0.1    
 17    40    Cl     nan    0.55     0.1    
 17    41    Cl     nan    0.55     0.1    
 17    42    Cl     nan    0.55     0.1    
 17    43    Cl     nan    0.55     0.1    
 17    44    Cl     nan    0.55     0.1    
 17    45    Cl     nan    0.55     0.1    
 17    46    Cl     nan    0.55     0.1    
 17    47    Cl     nan    0.55     0.1    
 17    48    Cl     nan    0.55     0.1    
 17    49    Cl     nan    0.55     0.1    
 17    50    Cl     nan    0.55     0.1    
 17    51    Cl     nan    0.55     0.1    
 18    30    Ar     nan    0.55     0.1    
 18    31    Ar     nan    0.55     0.1    
 18    32    Ar     nan    0.55     0.1    
 18    33    Ar     nan    0.55     0.1    
 18    34    Ar     nan    0.55     0.1    
 18    35    Ar     nan    0.55     0.1    
 18    36    Ar     nan    0.55     0.1    
 18    37    Ar     nan    0.55     0.1    
 18    38    Ar     nan    0.55     0.1    
 18    39    Ar     nan    0.55     0.1    
 18    40    Ar     nan    0.55     0.1    
 18    41    Ar     nan    0.55     0.1    
 18    42    Ar     nan    0.55     0.1    
 18    43    Ar     nan    0.55     0.1    
 18    44    Ar     nan    0.55     0.1    
 18    45    Ar     nan    0.55     0.1    
 18    46    Ar     nan    0.55     0.1    
 18    47    Ar     nan    0.55     0.1    
 18    48    Ar     nan    0.55     0.1    
 18    49    Ar     nan    0.55     0.1    
 18    50    Ar     nan    0.55     0.1    
 18    51    Ar     nan    0.55     0.1    
 18    52    Ar     nan    0.55     0.1    
 18    53    Ar     nan    0.55     0.1    
 19    32     K     nan    0.55     0.1    
 19    33     K     nan    0.55     0.1    
 19    34     K     nan    0.55     0.1    
 19    35     K     nan    0.55     0.1    
 19    36     K     nan    0.55     0.1    
 19    37     K     nan    0.55     0.1    
 19    38     K     nan    0.55     0.1    
 19    39     K     nan    0.55     0.1    
 19    40     K     nan    0.55     0.1    
 19    41     K     nan    0.55     0.1    
 19    42     K     nan    0.55     0.1    
 19    43     K     nan    0.55     0.1    
 19    44     K     nan    0.55     0.1    
 19    45     K     nan    0.55     0.1    
 19    46     K     nan    0.55     0.1    
 19    47     K     nan    0.55     0.1    
 19    48     K     nan    0.55     0.1    
 19    49     K     nan    0.55     0.1    
 19    50     K     nan    0.55     0.1    
 19    51     K     nan    0.55     0.1    
 19    52     K     nan    0.55     0.1    
 19    53     K     nan    0.55     0.1    
 19    54     K     nan    0.55     0.1    
 19    55     K     nan    0.55     0.1    
 20    34    Ca     nan    0.55     0.1    
 20    35    Ca     nan    0.55     0.1    
 20    36    Ca     nan    0.55     0.1    
 20    37    Ca     nan    0.55     0.1    
 20    38    Ca     nan    0.55     0.1    
 20    39    Ca     nan    0.55     0.1    
 20    40    Ca     nan    0.55     0.1    
 20    41    Ca     nan    0.55     0.1    
 20    42    Ca     nan    0.55     0.1    
 20    43    Ca     nan    0.55     0.1    
 20    44    Ca     nan    0.55     0.1    
 20    45    Ca     nan    0.55     0.1    
 20    46    Ca     nan    0.55     0.1    
 20    47    Ca     nan    0.55     0.1    
 20    48    Ca     nan    0.55     0.1    
 20    49    Ca     nan    0.55     0.1    
 20    50    Ca     nan    0.55     0.1    
 20    51    Ca     nan    0.55     0.1    
 20    52    Ca     nan    0.55     0.1    
 20    53    Ca     nan    0.55     0.1    
 20    54    Ca     nan    0.55     0.1    
 20    55    Ca     nan    0.55     0.1    
 20    56    Ca     nan    0.55     0.1    
 20    57    Ca     nan    0.55     0.1    
 21    36    Sc     nan    0.55     0.1    
 21    37    Sc     nan    0.55     0.1    
 21    38    Sc     nan    0.55     0.1    
 21    39    Sc     nan    0.55     0.1    
 21    40    Sc     nan    0.55     0.1    
 21    41    Sc     nan    0.55     0.1    
 21    42    Sc     nan    0.55     0.1    
 21    43    Sc     nan    0.55     0.1    
 21    44    Sc     nan    0.55     0.1    
 21    45    Sc     nan    0.55     0.1    
 21    46    Sc     nan    0.55     0.1    
 21    47    Sc     nan    0.55     0.1    
 21    48    Sc     nan    0.55     0.1    
 21    49    Sc     nan    0.55     0.1    
 21    50    Sc     nan    0.55     0.1    
 21    51    Sc     nan    0.55     0.1    
 21    52    Sc     nan    0.55     0.1    
 21    53    Sc     nan    0.55     0.1    
 21    54    Sc     nan    0.55     0.1    
 21    55    Sc     nan    0.55     0.1    
 21    56    Sc     nan    0.55     0.1    
 21    57    Sc     nan    0.55     0.1    
 21    58    Sc     nan    0.55     0.1    
 21    59    Sc     nan    0.55     0.1    
 22    38    Ti     nan    0.55     0.1    
 22    39    Ti     nan    0.55     0.1    
 22    40    Ti     nan    0.55     0.1    
 22    41    Ti     nan    0.55     0.1    
 22    42    Ti     nan    0.55     0.1    
 22    43    Ti     nan    0.55     0.1    
 22    44    Ti     nan    0.55     0.1    
 22    45    Ti     nan    0.55     0.1    
 22    46    Ti     nan    0.55     0.1    
 22    47    Ti     nan    0.55     0.1    
 22    48    Ti     nan    0.55     0.1    
 22    49    Ti     nan    0.55     0.1    
 22    50    Ti     nan    0.55     0.1    
 22    51    Ti     nan    0.55     0.1    
 22    52    Ti     nan    0.55     0.1    
 22    53    Ti     nan    0.55     0.1    
 22    54    Ti     nan    0.55     0.1    
 22    55    Ti     nan    0.55     0.1    
 22    56    Ti     nan    0.55     0.1    
 22    57    Ti     nan    0.55     0.1    
 22    58    Ti     nan    0.55     0.1    
 22    59    Ti     nan    0.55     0.1    
 22    60    Ti     nan    0.55     0.1    
 22    61    Ti     nan    0.55     0.1    
 23    40     V     nan    0.55     0.1    
 23    41     V     nan    0.55     0.1    
 23    42     V     nan    0.55     0.1    
 23    43     V     nan    0.55     0.1    
 23    44     V     nan    0.55     0.1    
 23    45     V     nan    0.55     0.1    
 23    46     V     nan    0.55     0.1    
 23    47     V     nan    0.55     0.1    
 23    48     V     nan    0.55     0.1    
 23    49     V     nan    0.55     0.1    
 23    50     V     nan    0.55     0.1    
 23    51     V     nan    0.55     0.1    
 23    52     V     nan    0.55     0.1    
 23    53     V     nan    0.55     0.1    
 23    54     V     nan    0.55     0.1    
 23    55     V     nan    0.55     0.1    
 23    56     V     nan    0.55     0.1    
 23    57     V     nan    0.55     0.1    
 23    58     V     nan    0.55     0.1    
 23    59     V     nan    0.55     0.1    
 23    60     V     nan    0.55     0.1    
 23    61     V     nan    0.55     0.1    
 23    62     V     nan    0.55     0.1    
 23    63     V     nan    0.55     0.1    
 24    42    Cr     nan    0.55     0.1    
 24    43    Cr     nan    0.55     0.1    
 24    44    Cr     nan    0.55     0.1    
 24    45    Cr     nan    0.55     0.1    
 24    46    Cr     nan    0.55     0.1    
 24    47    Cr     nan    0.55     0.1    
 24    48    Cr     nan    0.55     0.1    
 24    49    Cr     nan    0.55     0.1    
 24    50    Cr     nan    0.55     0.1    
 24    51    Cr     nan    0.55     0.1    
 24    52    Cr     nan    0.55     0.1    
 24    53    Cr     nan    0.55     0.1    
 24    54    Cr     nan    0.55     0.1    
 24    55    Cr     nan    0.55     0.1    
 24    56    Cr     nan    0.55     0.1    
 24    57    Cr     nan    0.55     0.1    
 24    58    Cr     nan    0.55     0.1    
 24    59    Cr     nan    0.55     0.1    
 24    60    Cr     nan    0.55     0.1    
 24    61    Cr     nan    0.55     0.1    
 24    62    Cr     nan    0.55     0.1    
 24    63    Cr     nan    0.55     0.1    
 24    64    Cr     nan    0.55     0.1    
 24    65    Cr     nan    0.55     0.1    
 25    44    Mn     nan    0.55     0.1    
 25    45    Mn     nan    0.55     0.1    
 25    46    Mn     nan    0.55     0.1    
 25    47    Mn     nan    0.55     0.1    
 25    48    Mn     nan    0.55     0.1    
 25    49    Mn     nan    0.55     0.1    
 25    50    Mn     nan    0.55     0.1    
 25    51    Mn     nan    0.55     0.1    
 25    52    Mn     nan    0.55     0.1    
 25    53    Mn     nan    0.55     0.1    
 25    54    Mn     nan    0.55     0.1    
 25    55    Mn     nan    0.55     0.1    
