  Z     A  Element   m      d      beta       
 34    65    Se     nan    0.55     0.1    
 34    66    Se     nan    0.55     0.1    
 34    67    Se     nan    0.55     0.1    
 34    68    Se     nan    0.55     0.1    
 34    69    Se     nan    0.55     0.1    
 34    70    Se     nan    0.55     0.1    
 34    71    Se     nan    0.55     0.1    
 34    72    Se     nan    0.55     0.1    
 34    73    Se     nan    0.55     0.1    
 34    74    Se     nan    0.55     0.1    
 34    75    Se     nan    0.55     0.1    
 34    76    Se     nan    0.55     0.1    
 34    77    Se     nan    0.55     0.1    
 34    78    Se     nan    0.55     0.1    
 34    79    Se     nan    0.55     0.1    
 34    80    Se     nan    0.55     0.1    
 34    81    Se     nan    0.55     0.1    
 34    82    Se     nan    0.55     0.1    
 34    83    Se     nan    0.55     0.1    
 34    84    Se     nan    0.55     0.1    
 34    85    Se     nan    0.55     0.1    
 34    86    Se     nan    0.55     0.1    
 34    87    Se     nan    0.55     0.1    
 34    88    Se     nan    0.55     0.1    
 34    89    Se     nan    0.55     0.1    
 34    90    Se     nan    0.55     0.1    
 34    91    Se     nan    0.55     0.1    
 34    92    Se     nan    0.55     0.1    
 35    67    Br     nan    0.55     0.1    
 35    68    Br     nan    0.55     0.1    
 35    69    Br     nan    0.55     0.1    
 35    70    Br     nan    0.55     0.1    
 35    71    Br     nan    0.55     0.1    
 35    72    Br     nan    0.55     0.1    
 35    73    Br     nan    0.55     0.1    
 35    74    Br     nan    0.55     0.1    
 35    75    Br     nan    0.55     0.1    
 35    76    Br     nan    0.55     0.1    
 35    77    Br     nan    0.55     0.1    
 35    78    Br     nan    0.55     0.1    
 35    79    Br     nan    0.55     0.1    
 35    80    Br     nan    0.55     0.1    
 35    81    Br     nan    0.55     0.1    
 35    82    Br     nan    0.55     0.1    
 35    83    Br     nan    0.55     0.1    
 35    84    Br     nan    0.55     0.1    
 35    85    Br     nan    0.55     0.1    
 35    86    Br     nan    0.55     0.1    
 35    87    Br     nan    0.55     0.1    
 35    88    Br     nan    0.55     0.1    
 35    89    Br     nan    0.55     0.1    
 35    90    Br     nan    0.55     0.1    
 35    91    Br     nan    0.55     0.1    
 35    92    Br     nan    0.55     0.1    
 35    93    Br     nan    0.55     0.1    
 35    94    Br     nan    0.55     0.1    
 36    69    Kr     nan    0.55     0.1    
 36    70    Kr     nan    0.55     0.1    
 36    71    Kr     nan    0.55     0.1    
 36    72    Kr     nan    0.55     0.1    
 36    73    Kr     nan    0.55     0.1    
 36    74    Kr     nan    0.55     0.1    
 36    75    Kr     nan    0.55     0.1    
 36    76    Kr     nan    0.55     0.1    
 36    77    Kr     nan    0.55     0.1    
 36    78    Kr     nan    0.55     0.1    
 36    79    Kr     nan    0.55     0.1    
 36    80    Kr     nan    0.55     0.1    
 36    81    Kr     nan    0.55     0.1    
 36    82    Kr     nan    0.55     0.1    
 36    83    Kr     nan    0.55     0.1    
 36    84    Kr     nan    0.55     0.1    
 36    85    Kr     nan    0.55     0.1    
 36    86    Kr     nan    0.55     0.1    
 36    87    Kr     nan    0.55     0.1    
 36    88    Kr     nan    0.55     0.1    
 36    89    Kr     nan    0.55     0.1    
 36    90    Kr     nan    0.55     0.1    
 36    91    Kr     nan    0.55     0.1    
 36    92    Kr     nan    0.55     0.1    
 36    93    Kr     nan    0.55     0.1    
 36    94    Kr     nan    0.55     0.1    
 36    95    Kr     nan    0.55     0.1    
 36    96    Kr     nan    0.55     0.1    
 36    97    Kr     nan    0.55     0.1    
 37    71    Rb     nan    0.55     0.1    
 37    72    Rb     nan    0.55     0.1    
 37    73    Rb     nan    0.55     0.1    
 37    74    Rb     nan    0.55     0.1    
 37    75    Rb     nan    0.55     0.1    
 37    76    Rb     nan    0.55     0.1    
 37    77    Rb     nan    0.55     0.1    
 37    78    Rb     nan    0.55     0.1    
 37    79    Rb     nan    0.55     0.1    
 37    80    Rb     nan    0.55     0.1    
 37    81    Rb     nan    0.55     0.1    
 37    82    Rb     nan    0.55     0.1    
 37    83    Rb     nan    0.55     0.1    
 37    84    Rb     nan    0.55     0.1    
 37    85    Rb     nan    0.55     0.1    
 37    86    Rb     nan    0.55     0.1    
 37    87    Rb     nan    0.55     0.1    
 37    88    Rb     nan    0.55     0.1    
 37    89    Rb     nan    0.55     0.1    
 37    90    Rb     nan    0.55     0.1    
 37    91    Rb     nan    0.55     0.1    
 37    92    Rb     nan    0.55     0.1    
 37    93    Rb     nan    0.55     0.1    
 37    94    Rb     nan    0.55     0.1    
 37    95    Rb     nan    0.55     0.1    
 37    96    Rb     nan    0.55     0.1    
 37    97    Rb     nan    0.55     0.1    
 37    98    Rb     nan    0.55     0.1    
 37    99    Rb     nan    0.55     0.1    
 37   100    Rb     nan    0.55     0.1    
 37   101    Rb     nan    0.55     0.1    
 37   102    Rb     nan    0.55     0.1    
 38    73    Sr     nan    0.55     0.1    
 38    74    Sr     nan    0.55     0.1    
 38    75    Sr     nan    0.55     0.1    
 38    76    Sr     nan    0.55     0.1    
 38    77    Sr     nan    0.55     0.1    
 38    78    Sr     nan    0.55     0.1    
 38    79    Sr     nan    0.55     0.1    
 38    80    Sr     nan    0.55     0.1    
 38    81    Sr     nan    0.55     0.1    
 38    82    Sr     nan    0.55     0.1    
 38    83    Sr     nan    0.55     0.1    
 38    84    Sr     nan    0.55     0.1    
 38    85    Sr     nan    0.55     0.1    
 38    86    Sr     nan    0.55     0.1    
 38    87    Sr     nan    0.55     0.1    
 38    88    Sr     nan    0.55     0.1    
 38    89    Sr     nan    0.55     0.1    
 38    90    Sr     nan    0.55     0.1    
 38    91    Sr     nan    0.55     0.1    
 38    92    Sr     nan    0.55     0.1    
 38    93    Sr     nan    0.55     0.1    
 38    94    Sr     nan    0.55     0.1    
 38    95    Sr     nan    0.55     0.1    
 38    96    Sr     nan    0.55     0.1    
 38    97    Sr     nan    0.55     0.1    
 38    98    Sr     nan    0.55     0.1    
 38    99    Sr     nan    0.55     0.1    
 38   100    Sr     nan    0.55     0.1    
 38   101    Sr     nan    0.55     0.1    
 38   102    Sr     nan    0.55     0.1    
 38   103    Sr     nan    0.55     0.1    
 38   104    Sr     nan    0.55     0.1    
 39    77     Y     nan    0.55     0.1    
 39    78     Y     nan    0.55     0.1    
 39    79     Y     nan    0.55     0.1    
 39    80     Y     nan    0.55     0.1    
 39    81     Y     nan    0.55     0.1    
 39    82     Y     nan    0.55     0.1    
 39    83     Y     nan    0.55     0.1    
 39    84     Y     nan    0.55     0.1    
 39    85     Y     nan    0.55     0.1    
 39    86     Y     nan    0.55     0.1    
 39    87     Y     nan    0.55     0.1    
 39    88     Y     nan    0.55     0.1    
 39    89     Y     nan    0.55     0.1    
 39    90     Y     nan    0.55     0.1    
 39    91     Y     nan    0.55     0.1    
 39    92     Y     nan    0.55     0.1    
 39    93     Y     nan    0.55     0.1    
 39    94     Y     nan    0.55     0.1    
 39    95     Y     nan    0.55     0.1    
 39    96     Y     nan    0.55     0.1    
 39    97     Y     nan    0.55     0.1    
 39    98     Y     nan    0.55     0.1    
 39    99     Y     nan    0.55     0.1    
 39   100     Y     nan    0.55     0.1    
 39   101     Y     nan    0.55     0.1    
 39   102     Y     nan    0.55     0.1    
 39   103     Y     nan    0.55     0.1    
 39   104     Y     nan    0.55     0.1    
 39   105     Y     nan    0.55     0.1    
 39   106     Y     nan    0.55     0.1    
 40    79    Zr     nan    0.55     0.1    
 40    80    Zr     nan    0.55     0.1    
 40    81    Zr     nan    0.55     0.1    
 40    82    Zr     nan    0.55     0.1    
 40    83    Zr     nan    0.55     0.1    
 40    84    Zr     nan    0.55     0.1    
 40    85    Zr     nan    0.55     0.1    
 40    86    Zr     nan    0.55     0.1    
 40    87    Zr     nan    0.55     0.1    
 40    88    Zr     nan    0.55     0.1    
 40    89    Zr     nan    0.55     0.1    
 40    90    Zr     nan    0.55     0.1    
 40    91    Zr     nan    0.55     0.1    
 40    92    Zr     nan    0.55     0.1    
 40    93    Zr     nan    0.55     0.1    
 40    94    Zr     nan    0.55     0.1    
 40    95    Zr     nan    0.55     0.1    
 40    96    Zr     nan    0.55     0.1    
 40    97    Zr     nan    0.55     0.1    
 40    98    Zr     nan    0.55     0.1    
 40    99    Zr     nan    0.55     0.1    
 40   100    Zr     nan    0.55     0.1    
 40   101    Zr     nan    0.55     0.1    
 40   102    Zr     nan    0.55     0.1    
 40   103    Zr     nan    0.55     0.1    
 40   104    Zr     nan    0.55     0.1    
 40   105    Zr     nan    0.55     0.1    
 40   106    Zr     nan    0.55     0.1    
 40   107    Zr     nan    0.55     0.1    
 40   108    Zr     nan    0.55     0.1    
 41    81    Nb     nan    0.55     0.1    
 41    82    Nb     nan    0.55     0.1    
 41    83    Nb     nan    0.55     0.1    
 41    84    Nb     nan    0.55     0.1    
 41    85    Nb     nan    0.55     0.1    
 41    86    Nb     nan    0.55     0.1    
 41    87    Nb     nan    0.55     0.1    
 41    88    Nb     nan    0.55     0.1    
 41    89    Nb     nan    0.55     0.1    
 41    90    Nb     nan    0.55     0.1    
 41    91    Nb     nan    0.55     0.1    
 41    92    Nb     nan    0.55     0.1    
 41    93    Nb     nan    0.55     0.1    
 41    94    Nb     nan    0.55     0.1    
 41    95    Nb     nan    0.55     0.1    
 41    96    Nb     nan    0.55     0.1    
 41    97    Nb     nan    0.55     0.1    
 41    98    Nb     nan    0.55     0.1    
 41    99    Nb     nan    0.55     0.1    
 41   100    Nb     nan    0.55     0.1    
 41   101    Nb     nan    0.55     0.1    
 41   102    Nb     nan    0.55     0.1    
 41   103    Nb     nan    0.55     0.1    
 41   104    Nb     nan    0.55     0.1    
 41   105    Nb     nan    0.55     0.1    
 41   106    Nb     nan    0.55     0.1    
 41   107    Nb     nan    0.55     0.1    
 41   108    Nb     nan    0.55     0.1    
 41   109    Nb     nan    0.55     0.1    
 41   110    Nb     nan    0.55     0.1    
 42    83    Mo     nan    0.55     0.1    
 42    84    Mo     nan    0.55     0.1    
 42    85    Mo     nan    0.55     0.1    
 42    86    Mo     nan    0.55     0.1    
 42    87    Mo     nan    0.55     0.1    
 42    88    Mo     nan    0.55     0.1    
 42    89    Mo     nan    0.55     0.1    
 42    90    Mo     nan    0.55     0.1    
 42    91    Mo     nan    0.55     0.1    
 42    92    Mo     nan    0.55     0.1    
 42    93    Mo     nan    0.55     0.1    
 42    94    Mo     nan    0.55     0.1    
 42    95    Mo     nan    0.55     0.1    
 42    96    Mo     nan    0.55     0.1    
 42    97    Mo     nan    0.55     0.1    
 42    98    Mo     nan    0.55     0.1    
 42    99    Mo     nan    0.55     0.1    
 42   100    Mo     nan    0.55     0.1    
 42   101    Mo     nan    0.55     0.1    
 42   102    Mo     nan    0.55     0.1    
 42   103    Mo     nan    0.55     0.1    
 42   104    Mo     nan    0.55     0.1    
 42   105    Mo     nan    0.55     0.1    
 42   106    Mo     nan    0.55     0.1    
 42   107    Mo     nan    0.55     0.1    
 42   108    Mo     nan    0.55     0.1    
 42   109    Mo     nan    0.55     0.1    
 42   110    Mo     nan    0.55     0.1    
 42   111    Mo     nan    0.55     0.1    
 42   112    Mo     nan    0.55     0.1    
 42   113    Mo     nan    0.55     0.1    
 43    85    Tc     nan    0.55     0.1    
 43    86    Tc     nan    0.55     0.1    
 43    87    Tc     nan    0.55     0.1    
 43    88    Tc     nan    0.55     0.1    
 43    89    Tc     nan    0.55     0.1    
 43    90    Tc     nan    0.55     0.1    
 43    91    Tc     nan    0.55     0.1    
 43    92    Tc     nan    0.55     0.1    
 43    93    Tc     nan    0.55     0.1    
 43    94    Tc     nan    0.55     0.1    
 43    95    Tc     nan    0.55     0.1    
 43    96    Tc     nan    0.55     0.1    
 43    97    Tc     nan    0.55     0.1    
 43    98    Tc     nan    0.55     0.1    
 43    99    Tc     nan    0.55     0.1    
 43   100    Tc     nan    0.55     0.1    
 43   101    Tc     nan    0.55     0.1    
 43   102    Tc     nan    0.55     0.1    
 43   103    Tc     nan    0.55     0.1    
 43   104    Tc     nan    0.55     0.1    
 43   105    Tc     nan    0.55     0.1    
 43   106    Tc     nan    0.55     0.1    
 43   107    Tc     nan    0.55     0.1    
 43   108    Tc     nan    0.55     0.1    
 43   109    Tc     nan    0.55     0.1    
 43   110    Tc     nan    0.55     0.1    
 43   111    Tc     nan    0.55     0.1    
 43   112    Tc     nan    0.55     0.1    
 43   113    Tc     nan    0.55     0.1    
 43   114    Tc     nan    0.55     0.1    
 43   115    Tc     nan    0.55     0.1    
 44    87    Ru     nan    0.55     0.1    
 44    88    Ru     nan    0.55     0.1    
 44    89    Ru     nan    0.55     0.1    
 44    90    Ru     nan    0.55     0.1    
 44    91    Ru     nan    0.55     0.1    
 44    92    Ru     nan    0.55     0.1    
 44    93    Ru     nan    0.55     0.1    
 44    94    Ru     nan    0.55     0.1    
 44    95    Ru     nan    0.55     0.1    
 44    96    Ru     nan    0.55     0.1    
 44    97    Ru     nan    0.55     0.1    
 44    98    Ru     nan    0.55     0.1    
 44    99    Ru     nan    0.55     0.1    
 44   100    Ru     nan    0.55     0.1    
 44   101    Ru     nan    0.55     0.1    
 44   102    Ru     nan    0.55     0.1    
 44   103    Ru     nan    0.55     0.1    
 44   104    Ru     nan    0.55     0.1    
 44   105    Ru     nan    0.55     0.1    
 44   106    Ru     nan    0.55     0.1    
 44   107    Ru     nan    0.55     0.1    
 44   108    Ru     nan    0.55     0.1    
 44   109    Ru     nan    0.55     0.1    
 44   110    Ru     nan    0.55     0.1    
 44   111    Ru     nan    0.55     0.1    
 44   112    Ru     nan    0.55     0.1    
 44   113    Ru     nan    0.55     0.1    
 44   114    Ru     nan    0.55     0.1    
 44   115    Ru     nan    0.55     0.1    
 44   116    Ru     nan    0.55     0.1    
 44   117    Ru     nan    0.55     0.1    
 44   118    Ru     nan    0.55     0.1    
 45    89    Rh     nan    0.55     0.1    
 45    90    Rh     nan    0.55     0.1    
 45    91    Rh     nan    0.55     0.1    
 45    92    Rh     nan    0.55     0.1    
 45    93    Rh     nan    0.55     0.1    
 45    94    Rh     nan    0.55     0.1    
 45    95    Rh     nan    0.55     0.1    
 45    96    Rh     nan    0.55     0.1    
 45    97    Rh     nan    0.55     0.1    
 45    98    Rh     nan    0.55     0.1    
 45    99    Rh     nan    0.55     0.1    
 45   100    Rh     nan    0.55     0.1    
 45   101    Rh     nan    0.55     0.1    
 45   102    Rh     nan    0.55     0.1    
 45   103    Rh     nan    0.55     0.1    
 45   104    Rh     nan    0.55     0.1    
 45   105    Rh     nan    0.55     0.1    
 45   106    Rh     nan    0.55     0.1    
 45   107    Rh     nan    0.55     0.1    
 45   108    Rh     nan    0.55     0.1    
 45   109    Rh     nan    0.55     0.1    
 45   110    Rh     nan    0.55     0.1    
 45   111    Rh     nan    0.55     0.1    
 45   112    Rh     nan    0.55     0.1    
 45   113    Rh     nan    0.55     0.1    
 45   114    Rh     nan    0.55     0.1    
 45   115    Rh     nan    0.55     0.1    
 45   116    Rh     nan    0.55     0.1    
 45   117    Rh     nan    0.55     0.1    
 45   118    Rh     nan    0.55     0.1    
 45   119    Rh     nan    0.55     0.1    
 45   120    Rh     nan    0.55     0.1    
 45   121    Rh     nan    0.55     0.1    
 46    91    Pd     nan    0.55     0.1    
 46    92    Pd     nan    0.55     0.1    
 46    93    Pd     nan    0.55     0.1    
 46    94    Pd     nan    0.55     0.1    
 46    95    Pd     nan    0.55     0.1    
 46    96    Pd     nan    0.55     0.1    
 46    97    Pd     nan    0.55     0.1    
 46    98    Pd     nan    0.55     0.1    
 46    99    Pd     nan    0.55     0.1    
 46   100    Pd     nan    0.55     0.1    
 46   101    Pd     nan    0.55     0.1    
 46   102    Pd     nan    0.55     0.1    
 46   103    Pd     nan    0.55     0.1    
 46   104    Pd     nan    0.55     0.1    
 46   105    Pd     nan    0.55     0.1    
 46   106    Pd     nan    0.55     0.1    
 46   107    Pd     nan    0.55     0.1    
 46   108    Pd     nan    0.55     0.1    
 46   109    Pd     nan    0.55     0.1    
 46   110    Pd     nan    0.55     0.1    
 46   111    Pd     nan    0.55     0.1    
 46   112    Pd     nan    0.55     0.1    
 46   113    Pd     nan    0.55     0.1    
 46   114    Pd     nan    0.55     0.1    
 46   115    Pd     nan    0.55     0.1    
 46   116    Pd     nan    0.55     0.1    
 46   117    Pd     nan    0.55     0.1    
 46   118    Pd     nan    0.55     0.1    
 46   119    Pd     nan    0.55     0.1    
 46   120    Pd     nan    0.55     0.1    
 46   121    Pd     nan    0.55     0.1    
 46   122    Pd     nan    0.55     0.1    
 46   123    Pd     nan    0.55     0.1    
 47    94    Ag     nan    0.55     0.1    
 47    95    Ag     nan    0.55     0.1    
 47    96    Ag     nan    0.55     0.1    
 47    97    Ag     nan    0.55     0.1    
 47    98    Ag     nan    0.55     0.1    
 47    99    Ag     nan    0.55     0.1    
 47   100    Ag     nan    0.55     0.1    
 47   101    Ag     nan    0.55     0.1    
 47   102    Ag     nan    0.55     0.1    
 47   103    Ag     nan    0.55     0.1    
 47   104    Ag     nan    0.55     0.1    
 47   105    Ag     nan    0.55     0.1    
 47   106    Ag     nan    0.55     0.1    
 47   107    Ag     nan    0.55     0.1    
 47   108    Ag     nan    0.55     0.1    
 47   109    Ag     nan    0.55     0.1    
 47   110    Ag     nan    0.55     0.1    
 47   111    Ag     nan    0.55     0.1    
 47   112    Ag     nan    0.55     0.1    
 47   113    Ag     nan    0.55     0.1    
 47   114    Ag     nan    0.55     0.1    
 47   115    Ag     nan    0.55     0.1    
 47   116    Ag     nan    0.55     0.1    
 47   117    Ag     nan    0.55     0.1    
 47   118    Ag     nan    0.55     0.1    
 47   119    Ag     nan    0.55     0.1    
 47   120    Ag     nan    0.55     0.1    
 47   121    Ag     nan    0.55     0.1    
 47   122    Ag     nan    0.55     0.1    
 47   123    Ag     nan    0.55     0.1    
 47   124    Ag     nan    0.55     0.1    
 47   125    Ag     nan    0.55     0.1    
 47   126    Ag     nan    0.55     0.1    
 47   127    Ag     nan    0.55     0.1    
 47   128    Ag     nan    0.55     0.1    
 48    96    Cd     nan    0.55     0.1    
 48    97    Cd     nan    0.55     0.1    
 48    98    Cd     nan    0.55     0.1    
 48    99    Cd     nan    0.55     0.1    
 48   100    Cd     nan    0.55     0.1    
 48   101    Cd     nan    0.55     0.1    
 48   102    Cd     nan    0.55     0.1    
 48   103    Cd     nan    0.55     0.1    
 48   104    Cd     nan    0.55     0.1    
 48   105    Cd     nan    0.55     0.1    
 48   106    Cd     nan    0.55     0.1    
 48   107    Cd     nan    0.55     0.1    
 48   108    Cd     nan    0.55     0.1    
 48   109    Cd     nan    0.55     0.1    
 48   110    Cd     nan    0.55     0.1    
 48   111    Cd     nan    0.55     0.1    
 48   112    Cd     nan    0.55     0.1    
 48   113    Cd     nan    0.55     0.1    
 48   114    Cd     nan    0.55     0.1    
 48   115    Cd     nan    0.55     0.1    
 48   116    Cd     nan    0.55     0.1    
 48   117    Cd     nan    0.55     0.1    
 48   118    Cd     nan    0.55     0.1    
 48   119    Cd     nan    0.55     0.1    
 48   120    Cd     nan    0.55     0.1    
 48   121    Cd     nan    0.55     0.1    
 48   122    Cd     nan    0.55     0.1    
 48   123    Cd     nan    0.55     0.1    
 48   124    Cd     nan    0.55     0.1    
 48   125    Cd     nan    0.55     0.1    
 48   126    Cd     nan    0.55     0.1    
 48   127    Cd     nan    0.55     0.1    
 48   128    Cd     nan    0.55     0.1    
 48   129    Cd     nan    0.55     0.1    
 48   130    Cd     nan    0.55     0.1    
 49    98    In     nan    0.55     0.1    
 49    99    In     nan    0.55     0.1    
 49   100    In     nan    0.55     0.1    
 49   101    In     nan    0.55     0.1    
 49   102    In     nan    0.55     0.1    
 49   103    In     nan    0.55     0.1    
 49   104    In     nan    0.55     0.1    
 49   105    In     nan    0.55     0.1    
 49   106    In     nan    0.55     0.1    
 49   107    In     nan    0.55     0.1    
 49   108    In     nan    0.55     0.1    
 49   109    In     nan    0.55     0.1    
 49   110    In     nan    0.55     0.1    
 49   111    In     nan    0.55     0.1    
 49   112    In     nan    0.55     0.1    
 49   113    In     nan    0.55     0.1    
 49   114    In     nan    0.55     0.1    
 49   115    In     nan    0.55     0.1    
 49   116    In     nan    0.55     0.1    
 49   117    In     nan    0.55     0.1    
 49   118    In     nan    0.55     0.1    
 49   119    In     nan    0.55     0.1    
 49   120    In     nan    0.55     0.1    
 49   121    In     nan    0.55     0.1    
 49   122    In     nan    0.55     0.1    
 49   123    In     nan    0.55     0.1    
 49   124    In     nan    0.55     0.1    
 49   125    In     nan    0.55     0.1    
 49   126    In     nan    0.55     0.1    
 49   127    In     nan    0.55     0.1    
 49   128    In     nan    0.55     0.1    
 49   129    In     nan    0.55     0.1    
 49   130    In     nan    0.55     0.1    
 49   131    In     nan    0.55     0.1    
 49   132    In     nan    0.55     0.1    
 49   133    In     nan    0.55     0.1    
 49   134    In     nan    0.55     0.1    
 50   100    Sn     nan    0.55     0.1    
 50   101    Sn     nan    0.55     0.1    
 50   102    Sn     nan    0.55     0.1    
 50   103    Sn     nan    0.55     0.1    
 50   104    Sn     nan    0.55     0.1    
 50   105    Sn     nan    0.55     0.1    
 50   106    Sn     nan    0.55     0.1    
 50   107    Sn     nan    0.55     0.1    
 50   108    Sn     nan    0.55     0.1    
 50   109    Sn     nan    0.55     0.1    
 50   110    Sn     nan    0.55     0.1    
 50   111    Sn     nan    0.55     0.1    
 50   112    Sn     nan    0.55     0.1    
 50   113    Sn     nan    0.55     0.1    
 50   114    Sn     nan    0.55     0.1    
 50   115    Sn     nan    0.55     0.1    
 50   116    Sn     nan    0.55     0.1    
 50   117    Sn     nan    0.55     0.1    
 50   118    Sn     nan    0.55     0.1    
 50   119    Sn     nan    0.55     0.1    
 50   120    Sn     nan    0.55     0.1    
 50   121    Sn     nan    0.55     0.1    
 50   122    Sn     nan    0.55     0.1    
 50   123    Sn     nan    0.55     0.1    
 50   124    Sn     nan    0.55     0.1    
 50   125    Sn     nan    0.55     0.1    
 50   126    Sn     nan    0.55     0.1    
 50   127    Sn     nan    0.55     0.1    
 50   128    Sn     nan    0.55     0.1    
 50   129    Sn     nan    0.55     0.1    
 50   130    Sn     nan    0.55     0.1    
 50   131    Sn     nan    0.55     0.1    
 50   132    Sn     nan    0.55     0.1    
 50   133    Sn     nan    0.55     0.1    
 50   134    Sn     nan    0.55     0.1    
 50   135    Sn     nan    0.55     0.1    
 50   136    Sn     nan    0.55     0.1    
 50   137    Sn     nan    0.55     0.1    
 51   103    Sb     nan    0.55     0.1    
 51   104    Sb     nan    0.55     0.1    
 51   105    Sb     nan    0.55     0.1    
 51   106    Sb     nan    0.55     0.1    
 51   107    Sb     nan    0.55     0.1    
 51   108    Sb     nan    0.55     0.1    
 51   109    Sb     nan    0.55     0.1    
 51   110    Sb     nan    0.55     0.1    
 51   111    Sb     nan    0.55     0.1    
 51   112    Sb     nan    0.55     0.1    
 51   113    Sb     nan    0.55     0.1    
 51   114    Sb     nan    0.55     0.1    
 51   115    Sb     nan    0.55     0.1    
 51   116    Sb     nan    0.55     0.1    
 51   117    Sb     nan    0.55     0.1    
 51   118    Sb     nan    0.55     0.1    
 51   119    Sb     nan    0.55     0.1    
 51   120    Sb     nan    0.55     0.1    
 51   121    Sb     nan    0.55     0.1    
 51   122    Sb     nan    0.55     0.1    
 51   123    Sb     nan    0.55     0.1    
 51   124    Sb     nan    0.55     0.1    
 51   125    Sb     nan    0.55     0.1    
 51   126    Sb     nan    0.55     0.1    
 51   127    Sb     nan    0.55     0.1    
 51   128    Sb     nan    0.55     0.1    
 51   129    Sb     nan    0.55     0.1    
 51   130    Sb     nan    0.55     0.1    
 51   131    Sb     nan    0.55     0.1    
 51   132    Sb     nan    0.55     0.1    
 51   133    Sb     nan    0.55     0.1    
 51   134    Sb     nan    0.55     0.1    
 51   135    Sb     nan    0.55     0.1    
 51   136    Sb     nan    0.55     0.1    
 51   137    Sb     nan    0.55     0.1    
 51   138    Sb     nan    0.55     0.1    
 51   139    Sb     nan    0.55     0.1    
 52   106    Te     nan    0.55     0.1    
 52   107    Te     nan    0.55     0.1    
 52   108    Te     nan    0.55     0.1    
 52   109    Te     nan    0.55     0.1    
 52   110    Te     nan    0.55     0.1    
 52   111    Te     nan    0.55     0.1    
 52   112    Te     nan    0.55     0.1    
 52   113    Te     nan    0.55     0.1    
 52   114    Te     nan    0.55     0.1    
 52   115    Te     nan    0.55     0.1    
 52   116    Te     nan    0.55     0.1    
 52   117    Te     nan    0.55     0.1    
 52   118    Te     nan    0.55     0.1    
 52   119    Te     nan    0.55     0.1    
 52   120    Te     nan    0.55     0.1    
 52   121    Te     nan    0.55     0.1    
 52   122    Te     nan    0.55     0.1    
 52   123    Te     nan    0.55     0.1    
 52   124    Te     nan    0.55     0.1    
 52   125    Te     nan    0.55     0.1    
 52   126    Te     nan    0.55     0.1    
 52   127    Te     nan    0.55     0.1    
 52   128    Te     nan    0.55     0.1    
 52   129    Te     nan    0.55     0.1    
 52   130    Te     nan    0.55     0.1    
 52   131    Te     nan    0.55     0.1    
 52   132    Te     nan    0.55     0.1    
 52   133    Te     nan    0.55     0.1    
 52   134    Te     nan    0.55     0.1    
 52   135    Te     nan    0.55     0.1    
 52   136    Te     nan    0.55     0.1    
 52   137    Te     nan    0.55     0.1    
 52   138    Te     nan    0.55     0.1    
 52   139    Te     nan    0.55     0.1    
 52   140    Te     nan    0.55     0.1    
 52   141    Te     nan    0.55     0.1    
 52   142    Te     nan    0.55     0.1    
 53   108     I     nan    0.55     0.1    
 53   109     I     nan    0.55     0.1    
 53   110     I     nan    0.55     0.1    
 53   111     I     nan    0.55     0.1    
 53   112     I     nan    0.55     0.1    
 53   113     I     nan    0.55     0.1    
 53   114     I     nan    0.55     0.1    
 53   115     I     nan    0.55     0.1    
 53   116     I     nan    0.55     0.1    
 53   117     I     nan    0.55     0.1    
 53   118     I     nan    0.55     0.1    
 53   119     I     nan    0.55     0.1    
 53   120     I     nan    0.55     0.1    
 53   121     I     nan    0.55     0.1    
 53   122     I     nan    0.55     0.1    
 53   123     I     nan    0.55     0.1    
 53   124     I     nan    0.55     0.1    
 53   125     I     nan    0.55     0.1    
 53   126     I     nan    0.55     0.1    
 53   127     I     nan    0.55     0.1    
 53   128     I     nan    0.55     0.1    
 53   129     I     nan    0.55     0.1    
 53   130     I     nan    0.55     0.1    
 53   131     I     nan    0.55     0.1    
 53   132     I     nan    0.55     0.1    
 53   133     I     nan    0.55     0.1    
 53   134     I     nan    0.55     0.1    
 53   135     I     nan    0.55     0.1    
 53   136     I     nan    0.55     0.1    
 53   137     I     nan    0.55     0.1    
 53   138     I     nan    0.55     0.1    
 53   139     I     nan    0.55     0.1    
 53   140     I     nan    0.55     0.1    
 53   141     I     nan    0.55     0.1    
 53   142     I     nan    0.55     0.1    
 53   143     I     nan    0.55     0.1    
 53   144     I     nan    0.55     0.1    
 54   110    Xe     nan    0.55     0.1    
 54   111    Xe     nan    0.55     0.1    
 54   112    Xe     nan    0.55     0.1    
 54   113    Xe     nan    0.55     0.1    
 54   114    Xe     nan    0.55     0.1    
 54   115    Xe     nan    0.55     0.1    
 54   116    Xe     nan    0.55     0.1    
 54   117    Xe     nan    0.55     0.1    
 54   118    Xe     nan    0.55     0.1    
 54   119    Xe     nan    0.55     0.1    
 54   120    Xe     nan    0.55     0.1    
 54   121    Xe     nan    0.55     0.1    
 54   122    Xe     nan    0.55     0.1    
 54   123    Xe     nan    0.55     0.1    
 54   124    Xe     nan    0.55     0.1    
 54   125    Xe     nan    0.55     0.1    
 54   126    Xe     nan    0.55     0.1    
 54   127    Xe     nan    0.55     0.1    
 54   128    Xe     nan    0.55     0.1    
 54   129    Xe     nan    0.55     0.1    
 54   130    Xe     nan    0.55     0.1    
 54   131    Xe     nan    0.55     0.1    
 54   132    Xe     nan    0.55     0.1    
